region,subregion,country,city,stationId,pm10Mean,pm10Year,pm10Converted,pm10ConvertedNote,pm10ConvertedAlert,pm2.5Mean,pm2.5Year,pm2.5Converted,pm2.5ConvertedNote,pm2.5ConvertedAlert,temporalCoverage,dataCoverageAlert
Region of the Americas,AmrA,United States of America,"Elkhart-Goshen, IN",366,21,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",12,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Erie, PA",367,19,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Eugene-Springfield, OR",368,13,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Eureka-Arcata-Fortuna, CA",369,11,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Evansville, IN-KY",370,19,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",12,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Fairbanks, AK",371,31,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",19,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Fairmont, WV",372,17,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Fargo, ND-MN",373,13,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Farmington, NM",374,8,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",5,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Fayetteville, NC",375,15,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Fayetteville-Springdale-Rogers, AR-MO",376,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Flagstaff, AZ",377,9,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",5,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Flint, MI",378,13,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Florence, SC",379,15,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Florence-Muscle Shoals, AL",380,15,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Fort Collins-Loveland, CO",381,12,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Fort Madison-Keokuk, IA-MO",382,18,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Fort Payne, AL",383,15,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Fort Smith, AR-OK",384,17,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Fort Wayne, IN",385,23,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",14,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Fresno, CA",386,74,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",45,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Gadsden, AL",387,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Gainesville, FL",388,12,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Gainesville, GA",389,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Gettysburg, PA",390,18,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Gillette, WY",391,13,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Goldsboro, NC",392,21,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",13,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Grand Island, NE",393,13,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Grand Junction, CO",394,12,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Grand Rapids-Wyoming, MI",395,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Grants Pass, OR",396,12,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Greeley, CO",397,13,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Green Bay, WI",398,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Greensboro-High Point, NC",399,14,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Greenville, NC",400,13,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Greenville-Mauldin-Easley, SC",401,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Grenada, MS",402,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Gulfport-Biloxi, MS",403,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Hagerstown-Martinsburg, MD-WV",404,19,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Hammond, LA",405,15,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Hanford-Corcoran, CA",406,28,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",17,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Harriman, TN",407,22,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",13,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Harrisburg-Carlisle, PA",408,20,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",12,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Harrisonburg, VA",409,15,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Hartford-West Hartford-East Hartford, CT",410,14,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Hattiesburg, MS",411,18,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Helena, MT",412,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Helena-West Helena, AR",413,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Hickory-Lenoir-Morganton, NC",414,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Hilo, HI",415,27,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",16,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Hobbs, NM",416,13,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Holland-Grand Haven, MI",417,15,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Homosassa Springs, FL",418,11,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Honolulu, HI",419,12,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Hot Springs, AR",420,18,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Houma-Bayou Cane-Thibodaux, LA",421,13,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Houston-Sugar Land-Baytown, TX",422,21,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",13,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Huntington-Ashland, WV-KY-OH",423,19,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Huntsville, AL",424,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Indianapolis-Carmel, IN",425,25,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",15,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Iowa City, IA",426,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Jackson, MS",427,19,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Jackson, TN",428,15,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Jackson, WY-ID",429,11,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",6,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Jacksonville, FL",430,13,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Jamestown-Dunkirk-Fredonia, NY",431,13,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Jasper, IN",432,18,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Johnstown, PA",433,19,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",12,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Juneau, AK",434,11,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",6,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Kahului-Wailuku, HI",435,11,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",6,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Kalamazoo-Portage, MI",436,17,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Kalispell, MT",437,13,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Kansas City, MO-KS",438,24,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",15,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Kapaa, HI",439,11,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Keene, NH",440,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Kingsport-Bristol-Bristol, TN-VA",441,15,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Kinston, NC",442,13,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Klamath Falls, OR",443,18,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Knoxville, TN",444,18,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Kokomo, IN",445,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"La Crosse, WI-MN",446,14,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Laconia, NH",447,11,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Lafayette, IN",448,24,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",14,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Lafayette, LA",449,18,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Lake Charles, LA",450,14,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Lake Havasu City-Kingman, AZ",451,6,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",4,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Lakeland-Winter Haven, FL",452,13,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Lancaster, PA",453,21,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",13,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Lansing-East Lansing, MI",454,14,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Laramie, WY",455,9,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",6,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Las Cruces, NM",456,25,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",15,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Las Vegas-Paradise, NV",457,20,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",12,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Laurel, MS",458,18,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Lawrenceburg, TN",459,14,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Lebanon, NH-VT",460,11,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Lebanon, PA",461,24,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",14,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Lewiston-Auburn, ME",462,13,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Lexington-Fayette, KY",463,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Lima, OH",464,17,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Lincoln, NE",465,14,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Little Rock-North Little Rock-Conway, AR",466,19,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",12,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Logan, UT-ID",467,15,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Los Angeles-Long Beach-Santa Ana, CA",468,33,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",20,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Louisville/Jefferson County, KY-IN",469,22,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",13,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Lumberton, NC",470,14,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Lynchburg, VA",471,13,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Macon, GA",472,19,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",12,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Madera, CA",473,27,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",16,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Madison, WI",474,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Manchester-Nashua, NH",475,14,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Marshall, MN",476,12,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Marshall, TX",477,17,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"McAlester, OK",478,19,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"McAllen-Edinburg-Mission, TX",479,18,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Medford, OR",480,15,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Memphis, TN-MS-AR",481,17,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Merced, CA",482,18,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Meridian, MS",483,17,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Miami-Fort Lauderdale-Pompano Beach, FL",484,14,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Michigan City-La Porte, IN",485,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Middlesborough, KY",486,17,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Milwaukee-Waukesha-West Allis, WI",487,18,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Minneapolis-St. Paul-Bloomington, MN-WI",488,17,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Missoula, MT",489,21,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",12,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Mobile, AL",490,15,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Modesto, CA",491,25,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",15,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Monroe, LA",492,22,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",13,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Monroe, MI",493,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Montgomery, AL",494,18,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Morgantown, WV",495,15,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Mount Vernon, IL",496,14,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Muncie, IN",497,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Muscatine, IA",498,18,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Muskegon-Norton Shores, MI",499,15,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Napa, CA",500,23,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",14,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Nashville-Davidson--Murfreesboro--Franklin, TN",501,17,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"New Castle, IN",502,15,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"New Haven-Milford, CT",503,15,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"New Orleans-Metairie-Kenner, LA",504,21,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",13,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"New York-Northern New Jersey-Long Island, NY-NJ-PA",505,23,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",14,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Niles-Benton Harbor, MI",506,14,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Nogales, AZ",507,16,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",10,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Norwich-New London, CT",508,13,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2012,,,,NA,
Region of the Americas,AmrA,United States of America,"Ogden-Clearfield, UT",509,15,NA,Yes,2,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2012,,,,NA,
